Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDO27,OUT035,1662.3195500653037
DRL23,OUT027,2440.9479239655147
FDS28,OUT046,816.6684872491467
FDX24,OUT013,1434.440708323119
FDZ02,OUT035,1553.428575243089
FDL46,OUT045,1755.3160806334658
FDS60,OUT027,5147.236321441907
NCO06,OUT017,459.5455586487436
FDO16,OUT035,1678.0532239332078
FDC60,OUT049,1650.864533546631
FDA48,OUT018,3934.1019378181804
FDZ36,OUT027,4738.083971516109
FDK27,OUT045,2016.6883178470357
FDW23,OUT018,424.1041230194542
FDM14,OUT018,1401.5119862868532
FDM14,OUT013,1582.9941643993184
FDW60,OUT018,2755.1116833155147
FDE21,OUT013,1966.0466634229215
NCM42,OUT035,1743.2220998465991
FDY59,OUT010,194.57615680950897
DRI49,OUT049,1333.0693259407315
FDT28,OUT019,284.8330694147305
FDQ22,OUT018,420.67916646945463
FDR60,OUT049,1358.8654757299735
FDC50,OUT019,238.34271617121146
FDV24,OUT013,2149.0906816206784
DRF48,OUT010,450.29880386915784
FDQ47,OUT046,655.8728393512713
DRN36,OUT049,1602.1376319048559
NCY06,OUT035,1960.8425171874735
FDE52,OUT035,1345.6135603132288
NCB54,OUT045,1917.9566501001723
NCF31,OUT035,2318.9231828375514
FDJ08,OUT027,4250.102449675366
NCC07,OUT017,1653.8153086500265
NCD19,OUT027,1495.5952102123154
FDL46,OUT049,2065.5916280797874
FDM20,OUT045,4180.3303596336555
NCI06,OUT010,462.2753599906433
DRM11,OUT035,4616.39390849353
NCH07,OUT018,2294.126908290295
FDS23,OUT013,2131.7976399511767
FDO49,OUT018,660.0322733915968
FDS35,OUT049,1159.9871095970718
DRK39,OUT045,1329.3142706453443
DRI39,OUT049,849.2990747985382
FDV04,OUT017,2206.9991429537426
NCN14,OUT035,3168.224442496724
FDH08,OUT013,3964.344195343802
FDS20,OUT046,3276.274592819775
FDV40,OUT049,1180.56185293687
FDZ48,OUT010,189.53207092502294
FDS24,OUT027,2294.9730654070613
FDK44,OUT049,2735.0233462268657
FDS48,OUT045,2521.682532223722
FDK26,OUT010,507.0232940560675
FDD23,OUT045,3204.1083582510273
NCH54,OUT017,2878.8032253953756
NCP14,OUT010,217.3900974617216
FDM60,OUT010,84.84429679513629
FDV24,OUT017,2219.0415357182787
FDH08,OUT018,3538.0527725661286
FDS12,OUT027,3192.2413074763276
FDR39,OUT027,4756.274015709074
FDP12,OUT027,969.8494163660007
DRF60,OUT027,5499.636455630076
FDC09,OUT035,1703.0871684606047
FDF50,OUT018,3016.72417568192
FDG28,OUT035,3923.4106960083172
NCE19,OUT017,827.8472130875244
NCM53,OUT010,235.1490302048705
NCN18,OUT049,1757.9635168150521
FDF32,OUT035,2940.7850192201518
FDF11,OUT013,3915.8790976099053
DRI59,OUT049,3967.3443368997755
NCG54,OUT035,2898.982238797064
FDM44,OUT046,1616.591176630859
FDT57,OUT018,3171.5662090342744
FDV24,OUT046,2244.8713924391636
FDI50,OUT019,554.865870018723
FDS09,OUT035,796.2421973310454
NCC31,OUT027,4154.2192857740765
FDQ07,OUT019,516.2267354388878
FDC22,OUT017,3067.421117882363
FDZ56,OUT046,2875.2807423028703
FDZ40,OUT019,163.4820413132321
FDS46,OUT027,2968.94347513847
DRD24,OUT045,2009.804530367878
FDV45,OUT017,3189.903106711685
FDL26,OUT045,2531.843941873154
FDA56,OUT018,1855.6424762950192
FDN27,OUT046,2003.5596300322338
FDM20,OUT049,4166.000674091449
FDO16,OUT017,1757.836404386655
FDL03,OUT035,3066.638889302747
FDE58,OUT046,1956.454281059554
FDI02,OUT027,3262.449499605861
NCC55,OUT019,72.4857571069363
FDR03,OUT018,3187.896829042471
FDB14,OUT017,1505.4186225624455
FDR45,OUT013,4022.960232410417
NCN07,OUT017,1981.8687585455968
FDM51,OUT019,265.6014501643974
FDT52,OUT027,6072.582601371669
FDL26,OUT046,2481.268730628414
NCZ42,OUT046,4001.961856556245
DRI47,OUT019,385.9257753580794
FDW40,OUT013,2217.5300807898425
FDN34,OUT046,3081.773382933286
FDS01,OUT035,2986.2772268091735
NCG55,OUT045,1936.090133944991
FDC11,OUT035,1326.595675177866
FDX35,OUT018,3649.7210037269183
NCB06,OUT046,2690.9459334263415
FDR09,OUT019,547.7896308645301
FDC53,OUT017,1516.6392038415547
FDY45,OUT013,3791.4883662893535
FDA22,OUT010,404.13417397206024
FDE02,OUT035,1587.6490881658638
FDW21,OUT045,1719.003784750957
FDV34,OUT046,1152.0717614063585
FDS59,OUT049,1732.7495321934946
NCW17,OUT017,2121.0187435078756
NCK54,OUT046,1982.6327629996224
FDG17,OUT019,501.3541574095639
FDG35,OUT017,2854.872364025976
FDD08,OUT010,81.34300865172735
NCO07,OUT017,3661.9069814311283
FDJ10,OUT010,340.37158879616817
FDW36,OUT017,1648.1766758339395
FDW21,OUT010,231.12827291959496
FDY19,OUT017,1941.0554712327069
DRE03,OUT013,715.1161890111397
NCC55,OUT049,696.7520793472868
FDH52,OUT010,150.05436227230675
FDO09,OUT017,4428.011800924784
FDU43,OUT045,4137.945868944578
FDX09,OUT010,450.7782313930595
FDH40,OUT019,218.54887973011384
FDW58,OUT017,1647.7546923762984
FDC47,OUT017,4021.711247386342
NCR41,OUT035,1549.7897071058644
DRG49,OUT035,4097.715809319989
FDC52,OUT027,4593.20305538115
FDY13,OUT046,1227.1889398042229
FDY35,OUT013,645.2271219833642
FDI35,OUT017,3171.716720897735
NCU18,OUT049,2106.393103713431
FDY33,OUT018,2353.1252442713962
FDC15,OUT027,3539.025753754232
FDU01,OUT049,3068.764274956447
NCU42,OUT046,2930.518169825133
NCV29,OUT018,2836.2314554831896
NCY30,OUT017,3080.3313218128164
FDQ46,OUT049,1725.2178938391871
FDG58,OUT027,3888.0631713260914
FDK33,OUT017,3491.8669647586794
NCD07,OUT045,1795.0855263207768
NCX29,OUT027,4032.359635935206
NCT42,OUT013,2249.122310544631
DRN59,OUT035,722.0056109971638
FDI44,OUT035,1211.3802080623611
FDA45,OUT049,1962.3257384983006
FDP31,OUT045,1121.1124270248772
FDY01,OUT046,2026.9954246774596
FDT09,OUT018,2044.3382389482388
DRH03,OUT027,2491.2543765081386
FDA36,OUT018,2752.7809801181465
NCF31,OUT017,2337.974289345076
FDG14,OUT049,2368.7089742813127
FDG28,OUT027,5957.503693611539
FDU14,OUT049,4196.767209693861
FDY47,OUT019,237.66145400164717
FDI56,OUT049,1382.405248020103
DRD01,OUT013,761.766045106064
FDM22,OUT046,915.3686439332569
FDH33,OUT013,654.445933197112
DRZ24,OUT013,1968.1388892720847
NCQ38,OUT046,1696.4530123407187
FDO16,OUT027,2226.5144624606564
FDU07,OUT027,3798.509967831855
NCB07,OUT013,3049.9434102138994
FDU48,OUT045,1919.8712957021821
NCM43,OUT045,2739.893519162718
FDR31,OUT010,439.05702521675363
DRK49,OUT018,454.95741414145806
NCI30,OUT010,571.3205546775353
DRD60,OUT017,3192.1387249255145
NCG19,OUT046,3499.165254364499
FDH12,OUT035,1690.493920922189
FDM32,OUT035,1514.9533953382606
FDM27,OUT035,2900.08871157209
NCU53,OUT027,4780.181229998321
NCQ18,OUT046,1653.163984547918
FDS10,OUT013,3010.503416359101
FDB33,OUT027,4106.37628191978
FDI12,OUT013,1303.1100554522047
NCW42,OUT013,3977.384213485982
NCC06,OUT018,2024.4254133131026
FDW02,OUT017,1991.6052445510816
NCD43,OUT017,1682.8933547940353
FDM57,OUT018,1217.8096409634145
FDA58,OUT017,3759.26788321537
FDK56,OUT046,3109.6854038471065
FDP52,OUT045,3957.128686311569
FDW20,OUT018,2017.329486985371
FDS52,OUT049,1513.7634080855257
NCT29,OUT018,1732.5632704341112
NCL54,OUT013,3053.5053588203805
FDC05,OUT045,3008.6692060838527
FDF34,OUT035,2951.0741953263855
FDP03,OUT027,3030.1243031787944
FDD32,OUT010,175.73887110453987
FDZ10,OUT045,2064.991566248017
FDZ40,OUT035,794.1672884334876
FDD51,OUT018,485.96338954597775
NCY30,OUT019,377.5562126633455
FDP58,OUT017,3294.8926557054456
FDV49,OUT017,4312.255708697969
FDY24,OUT019,161.31322106142764
NCO55,OUT017,1704.7368477653968
FDR13,OUT017,1851.1755712815245
FDS51,OUT017,931.8301353585089
FDP26,OUT045,1648.5535918323399
NCB54,OUT027,3309.562379338673
FDF32,OUT017,3013.0072821109247
FDN31,OUT018,2838.7455768911327
DRM48,OUT017,631.6119736053577
FDN20,OUT049,2768.4446339984506
DRL01,OUT046,3747.981466617235
FDV56,OUT049,1657.6250883890264
DRH13,OUT027,2695.4172870217526
FDA03,OUT017,2363.2608491449523
FDF47,OUT027,5085.665412011823
FDX32,OUT046,2735.2830502214138
FDX57,OUT049,1599.2119048390377
NCA30,OUT045,3050.123898708176
FDO49,OUT013,721.3920494562075
FDL04,OUT019,219.65637771265418
DRM48,OUT035,613.6118978663615
FDR16,OUT013,3691.8804986122204
NCC19,OUT018,3064.8044106949014
NCE42,OUT045,3696.775890244697
FDY24,OUT017,902.6101377527291
FDH19,OUT049,2987.3150317782665
FDJ46,OUT013,3149.854572444911
FDN45,OUT010,635.6163567737652
FDY08,OUT035,2395.4910450842845
FDZ37,OUT035,1338.8918129159013
NCT30,OUT045,754.0331510398617
DRY23,OUT018,495.46753996205024
NCZ30,OUT018,1857.1089296337345
FDC44,OUT018,1796.0888320225922
FDB45,OUT035,1544.2260090541124
FDY04,OUT013,2594.658222877004
FDM27,OUT046,2841.588007550771
FDZ43,OUT017,4097.732184017521
FDT39,OUT019,318.6515757913257
NCC06,OUT019,332.17709256885115
FDL15,OUT027,3909.2408174223815
FDL57,OUT017,4171.035931355266
FDU08,OUT046,1548.2573112094667
FDK40,OUT017,4372.154518107371
FDQ12,OUT010,504.8155644084383
FDS48,OUT017,2585.267530745847
FDP09,OUT045,3944.9720965186
FDW21,OUT049,1583.8521058745555
FDY25,OUT035,3121.297536066867
DRE13,OUT017,1471.3022276440772
FDV43,OUT019,72.95942017119982
FDD22,OUT045,1723.59560860909
FDM46,OUT019,255.14803216576888
NCO30,OUT010,483.4416525295593
FDM25,OUT046,3063.871040423557
NCN41,OUT049,1947.66897475761
FDU24,OUT045,1618.935057907881
FDZ50,OUT046,3205.2137140957475
FDP45,OUT013,3900.8329501754515
NCM54,OUT045,1939.6145405031443
FDW10,OUT019,344.35939955467734
FDP20,OUT017,1948.736678725494
FDK32,OUT046,2626.226558581849
FDN52,OUT049,1300.502521754914
FDM58,OUT045,1780.8493902848145
FDZ46,OUT027,3180.6526099333605
NCA18,OUT018,1717.9956372336228
FDD35,OUT046,2198.6538365286287
NCK31,OUT035,762.0149327508256
FDI40,OUT027,2810.999431068522
FDT50,OUT019,224.13802574583949
NCT06,OUT046,2679.270628669684
FDT31,OUT035,2856.7962082964864
FDT45,OUT049,799.294454099459
FDT13,OUT045,3101.7980041954947
FDO50,OUT045,1339.5248330378174
NCU18,OUT010,335.40963894340274
NCR54,OUT049,3131.858750422978
NCO18,OUT018,2824.7161349615794
FDU09,OUT045,795.8478987013738
FDT13,OUT018,2949.435201262215
FDE09,OUT046,1719.786113054526
NCK53,OUT019,281.2906085914379
FDG45,OUT049,3408.5733352789416
DRH15,OUT035,689.1670075227686
FDO21,OUT019,707.9606609597533
FDD14,OUT027,5449.7685691117695
FDC09,OUT046,1695.2808329351985
FDH45,OUT027,927.8698316171768
FDV32,OUT046,1163.4580828319342
FDG12,OUT035,2008.0303673476133
FDS32,OUT013,2021.20983173078
NCL55,OUT018,3483.6937820259964
DRE01,OUT035,4044.869292170333
DRE15,OUT049,1405.8705765684292
NCL42,OUT045,4112.792785998655
FDP31,OUT013,1069.7441998437162
FDN33,OUT018,1431.5738185926216
FDZ59,OUT046,2512.7140995745226
FDE45,OUT010,367.1630740901608
FDJ07,OUT013,1951.104704622852
FDQ45,OUT018,2972.6907101518814
FDM33,OUT027,5454.248492036993
FDO15,OUT010,178.80453366033169
FDM46,OUT013,1524.8324610228196
FDR03,OUT045,3315.8658277142677
FDY49,OUT018,2249.804247513319
FDQ60,OUT045,1904.478732350396
FDW10,OUT049,2756.9369196215557
FDO51,OUT049,713.6577645885641
FDJ40,OUT018,1400.3654005753615
FDS20,OUT018,2919.6875536191465
FDU45,OUT013,1811.087723500254
FDV02,OUT035,2839.5655382063064
FDN09,OUT046,4132.427521418982
NCM55,OUT027,4772.6148745263745
FDN23,OUT018,2255.3206617663636
FDY31,OUT010,476.0668172304927
FDW03,OUT010,260.48611773572463
FDD14,OUT046,3244.051025164156
FDV23,OUT017,2005.6431077100863
DRI03,OUT045,2807.8575569052564
FDN13,OUT035,1544.7736463618974
FDF45,OUT027,1768.618156428576
FDU46,OUT035,1306.9623089976221
FDB57,OUT049,3883.5594113044035
FDV12,OUT049,1524.3852861452863
FDQ58,OUT013,2332.4672958594015
NCA18,OUT017,1803.993349819725
FDH52,OUT049,897.0898743360274
FDM24,OUT018,2055.295453206496
NCP43,OUT027,4129.266683051257
NCO18,OUT019,426.7403886138444
FDM32,OUT017,1379.2328740481335
NCL07,OUT017,645.9409042398743
FDK03,OUT013,4261.020917437164
FDP59,OUT017,1551.9670886207452
FDQ24,OUT049,4245.7561618191985
FDQ16,OUT018,1310.9902424123911
FDU44,OUT013,2607.637330999585
FDH28,OUT010,119.37488069772839
FDV28,OUT019,87.67873531992919
FDM22,OUT045,859.2038839444534
FDR56,OUT046,3133.853950198233
FDV39,OUT049,3043.149280658465
FDU37,OUT019,233.0441318086546
FDQ11,OUT010,692.2814288015875
FDX02,OUT045,3998.3134387593336
NCS42,OUT018,1463.6354409960788
FDY57,OUT027,2801.902972480409
FDB21,OUT049,3856.46430319817
FDE28,OUT017,3837.9686217814574
FDQ55,OUT017,1905.8890353821344
FDA48,OUT049,3899.9965978946234
FDZ19,OUT045,2823.2769471777183
NCC43,OUT045,3840.0014997162966
NCV18,OUT046,1491.634766226255
NCA42,OUT018,2247.159261454012
FDY45,OUT046,3962.313510130099
NCC30,OUT045,3007.53218769533
FDM57,OUT013,1338.7549406760809
FDL09,OUT010,523.80692130367
FDB09,OUT027,3339.515993135256
FDT44,OUT035,1843.3491671362603
NCT06,OUT027,4005.530563356221
FDX26,OUT049,3221.615835830732
FDK32,OUT013,2500.2071195042063
DRA12,OUT046,2233.222916114892
FDO46,OUT010,499.6285356421117
FDE52,OUT013,1280.893913463787
NCH42,OUT045,4121.626331001758
FDV08,OUT035,682.3525540151558
FDB47,OUT018,3014.0562358069888
FDC28,OUT010,186.43887548424172
FDD22,OUT046,1943.7062359724453
FDS07,OUT027,3258.906816988287
DRI13,OUT045,3574.24761626083
FDG32,OUT018,3772.8441895354044
FDU14,OUT017,4270.470091710355
FDD28,OUT019,126.08129353601964
NCP41,OUT017,1669.679929504891
FDS08,OUT049,2783.974472543574
FDX47,OUT045,2297.4662471571633
FDC53,OUT019,219.15848987890124
FDQ19,OUT035,3957.6256481785845
FDL14,OUT045,2255.229879083495
FDM33,OUT019,568.0851775249992
FDA51,OUT045,1957.0842608400874
FDZ27,OUT018,652.4271217497209
FDT04,OUT046,611.8891381346098
DRC13,OUT049,2038.942600389368
FDR16,OUT027,4897.994072348095
FDQ03,OUT027,5967.904878733189
FDE38,OUT035,2698.9030508584897
DRH23,OUT027,2105.02802626096
FDT11,OUT019,543.3487333789886
FDD09,OUT035,2977.0180729447416
FDR40,OUT045,1373.5595815109418
FDX07,OUT017,3049.106007545959
FDR07,OUT035,1500.394805322317
FDA51,OUT017,2011.363273397296
FDT59,OUT019,553.4280398275788
FDF20,OUT017,3056.589359449026
FDR13,OUT045,1854.3805101731268
FDY26,OUT049,4056.27495251171
FDW04,OUT017,1939.837961311793
FDK52,OUT017,3893.610929716133
FDN60,OUT049,2766.2083810573117
FDM09,OUT019,364.9761525365586
FDP46,OUT049,1297.282725485077
FDB50,OUT019,255.53098623478252
NCQ29,OUT049,4328.470845067122
FDP16,OUT027,6010.483822414054
FDX33,OUT018,2297.103929913463
FDP07,OUT010,459.6987931572245
FDN22,OUT046,3915.3827802033984
FDF39,OUT049,4085.436617463412
FDS21,OUT017,935.3098668084339
NCM42,OUT013,1739.492860236466
FDK50,OUT019,494.9035711612801
DRF13,OUT027,3976.792843169216
FDH35,OUT018,2160.8518260594406
FDP60,OUT018,1303.3466106275557
DRJ49,OUT027,2771.0045731107757
NCT42,OUT019,308.3669423631142
FDE38,OUT049,2546.1814513007707
FDI04,OUT049,3006.497403629632
NCH54,OUT045,2778.866004015196
FDT56,OUT049,845.7813520351281
DRD15,OUT018,3334.434065575534
FDV58,OUT013,2814.1356029856634
FDP21,OUT049,3202.5514242720615
FDH05,OUT013,3750.370614440588
FDR10,OUT027,4642.324907726867
NCP06,OUT045,2477.9547242627636
FDF33,OUT049,1713.4381445928839
DRK37,OUT013,3234.444992076902
DRH49,OUT045,1243.5317158178918
FDT58,OUT013,2686.231427562481
FDD41,OUT018,1477.630397190815
FDP40,OUT018,1587.912663613603
FDM51,OUT027,2522.99073675977
FDO45,OUT010,219.1591958231963
FDW33,OUT010,252.39164550752966
FDY24,OUT045,863.2438487928629
FDB10,OUT010,561.6194516828226
FDM40,OUT035,2372.994113513585
NCI06,OUT017,3071.942726252446
FDW12,OUT019,256.0226717943517
FDX48,OUT027,3915.917864875726
NCW05,OUT027,2859.6434215111362
FDX27,OUT017,1561.2924173509434
DRM37,OUT045,3299.206024438006
FDA38,OUT045,4036.4259681239255
FDR36,OUT046,667.3137518861228
FDZ45,OUT046,3121.496553920756
FDG05,OUT017,2416.3952086550753
FDK28,OUT013,4623.0752239032
FDV47,OUT045,1260.2254742592008
FDN21,OUT045,2543.19348609331
FDP20,OUT027,2845.7044256600266
FDI35,OUT045,3163.3132618408413
DRY23,OUT013,693.4707411301139
FDA56,OUT017,2005.2689998730013
FDB09,OUT013,1906.9405871116353
NCO26,OUT027,3126.2471474326285
FDQ49,OUT018,2261.9341608823884
FDI52,OUT027,2975.8158341684625
FDZ44,OUT027,3138.8591410974277
FDZ09,OUT018,2365.373167920259
FDY03,OUT049,1893.1480795124326
NCG42,OUT017,2071.3072418044785
DRI13,OUT027,5726.5878207723135
FDQ32,OUT013,2018.9701053483793
FDW16,OUT035,1324.223748054269
FDU27,OUT046,900.930569254025
FDR28,OUT010,431.9631672561064
FDQ49,OUT010,376.27538690758206
FDS37,OUT046,1992.8821115806347
FDW26,OUT018,3726.435683011429
FDX12,OUT018,3707.00040520463
NCP06,OUT013,2460.985337356494
FDW45,OUT010,281.27173007425125
NCN30,OUT049,1533.404725072163
FDN24,OUT049,942.9405347853186
NCL41,OUT027,1006.0073509575819
FDR02,OUT019,254.68104836294464
FDD09,OUT010,452.7815634254475
FDS33,OUT010,187.0528503802101
FDU22,OUT045,1907.4428221219068
FDI53,OUT013,2359.485243943707
DRH01,OUT049,3135.4773135616547
FDX32,OUT013,2258.6750509999465
NCP30,OUT018,439.120045047655
FDB60,OUT045,3138.794552377597
FDB14,OUT049,1535.4854367535186
NCP02,OUT035,768.557153619695
FDJ10,OUT017,1874.3119206228769
FDG34,OUT046,1827.0730490941246
NCB18,OUT017,1337.549408506027
FDM16,OUT049,1183.2486962417377
FDW25,OUT018,1596.825326207254
FDB35,OUT010,196.342411492892
DRN11,OUT013,2439.774724141787
FDF41,OUT019,585.6672065255183
FDH16,OUT045,1312.20900402432
NCQ50,OUT018,3136.7013077208185
DRH23,OUT018,782.9747080530099
DRJ37,OUT013,2296.3818701038626
DRJ24,OUT027,5026.71501544672
FDY16,OUT035,3079.077282799642
FDQ27,OUT045,1864.71557512856
FDZ33,OUT045,2424.491467163966
FDF29,OUT045,2143.1999373060708
FDA08,OUT049,2665.860730098792
FDG31,OUT046,1135.09412994554
FDE34,OUT019,503.33759437725945
NCR30,OUT027,2035.921637258859
FDV33,OUT035,3993.484847761417
DRZ24,OUT018,1765.6416300367252
NCL54,OUT035,2984.185149321886
FDR12,OUT049,3016.6355284673905
NCC54,OUT046,4009.600169989565
DRN59,OUT013,762.1434668215792
FDX50,OUT019,213.366871027136
FDV31,OUT027,4562.668964409175
NCA29,OUT027,4679.5319759532695
FDW60,OUT049,3017.268937619834
FDX08,OUT017,3048.8779762460535
DRD49,OUT013,3877.7218912899825
FDD33,OUT046,3896.4378984492023
FDW35,OUT013,704.1991940063109
FDJ36,OUT017,1728.8578645133766
FDV51,OUT035,2774.037389847121
FDW36,OUT046,1676.8187407717198
FDH35,OUT046,2375.0149840319414
NCS30,OUT027,3192.081165249244
FDN49,OUT017,587.7233466794797
FDL08,OUT018,3438.2805804845766
FDI09,OUT013,3738.472624666733
FDP19,OUT018,2322.800897698585
FDU21,OUT010,103.0742191531538
NCP41,OUT045,1658.0141252655262
FDY10,OUT013,1743.4819180691266
FDP12,OUT018,505.1155970858327
NCN26,OUT049,1857.5952295437967
FDK44,OUT013,2812.4882844301374
FDC28,OUT049,1655.8965536162523
FDJ41,OUT027,6001.4995852406355
NCT29,OUT035,1917.0623872404715
NCH42,OUT019,490.1049600893306
FDU60,OUT018,2452.9153818903446
FDS02,OUT045,3140.2767068953713
FDC51,OUT046,2174.448217956192
FDU03,OUT013,3084.317587983117
FDX39,OUT045,3817.318086288994
NCY05,OUT010,97.30313154959207
NCL06,OUT027,5961.781432017193
FDD32,OUT035,1228.8705009204873
NCN41,OUT045,1874.68805014226
NCX53,OUT049,2252.020220886603
FDU57,OUT019,241.20762534438407
FDQ23,OUT046,1652.8281141100413
FDQ52,OUT045,4283.402921657797
FDC14,OUT045,612.6179345592467
FDY09,OUT035,3196.258917938738
FDQ28,OUT045,2640.8486905276327
FDV25,OUT046,4347.605154479616
FDJ07,OUT035,2002.9382548117167
DRB25,OUT049,1686.918081049938
FDK52,OUT019,586.2723622892958
FDY52,OUT027,1628.934815921333
FDB28,OUT046,3026.10917356897
FDT36,OUT035,607.0297589066766
FDV25,OUT017,4177.778286358913
NCN07,OUT027,3378.039100206669
FDC57,OUT017,3115.5388303428836
FDQ03,OUT018,3147.395829140285
FDU23,OUT017,2833.899890965707
NCX41,OUT035,3612.6087229875743
NCD06,OUT035,737.4612796356955
FDW08,OUT045,1766.4391950532859
NCU29,OUT017,2606.747126068629
NCE06,OUT013,2343.4695938416266
FDV52,OUT010,237.90603362234478
FDB02,OUT017,2989.8637797264896
NCR18,OUT045,646.7179173374187
FDK16,OUT049,1500.3682396816696
NCQ29,OUT010,653.5838369139387
FDZ01,OUT019,215.18975093723955
FDW27,OUT035,2325.9220350151304
FDD17,OUT018,3623.246361316296
FDW39,OUT013,3080.434017414535
DRH59,OUT045,1033.159526238713
FDS52,OUT013,1542.099202252461
FDU40,OUT027,5429.834056125625
NCF54,OUT013,2935.0744454748333
FDH46,OUT045,1751.4882922069905
NCP14,OUT049,1729.8517239655691
FDH50,OUT049,3116.905745959845
DRF15,OUT010,301.9227865308778
FDV27,OUT027,2211.8598275483655
NCJ06,OUT049,2025.9351002703088
FDN02,OUT018,3072.843396534455
FDQ51,OUT049,766.77205457399
FDQ07,OUT017,3894.185076269367
FDS45,OUT049,1846.062613052139
NCJ06,OUT045,1943.9733730814955
FDD36,OUT035,1995.8302114840906
FDY25,OUT045,3204.7201139124886
FDU52,OUT046,2306.0774596986607
DRK47,OUT017,3914.9661195448325
NCL30,OUT017,1956.548766953119
FDN22,OUT035,3892.3177711296785
NCF30,OUT027,3156.51624819001
FDK03,OUT035,4302.544638880704
FDT45,OUT017,801.5176667917012
NCC54,OUT027,5495.054903535271
FDP08,OUT018,2878.7286820720074
FDU44,OUT046,2853.6451367654704
